review,sentiment
recap band five young american men left platoon hit hard ardenne offensive wwii get assignment forward outpost look enemy activity really bad condition physically mentally think struck gold outpost abandoned plush mansion full food enemy activity odd hostile odd seems like german squad equally bad condition want nothing surrender br br comment based novel guess novel much better story seem translate well big screen indeed different war movie much mental pressure wartime fighting battle almost feel scene must full suspense full uncertainty unknown element fall flat movie suspenseful different many way absurd many time people act insane reason unclear best hinted br br mental pressure fails come main building piece entire story thought story fell good interesting keep edge really send message actually nothing br br cast interesting many young actor turned star beginning career acting good stellar character also fell absurd zone much feel due story character need time space pace given novel given going halfway definitely good enough br br,0
watched several day film shooting movie summer end result two scene movie location sylvan lake black hill bring wagon stop wagon etc dakota youth looked forward seeing movie disappointed local buffalo herd culled shooting scene real yes doris animal hurt filming think ending copied jack nicholson shining great western social comment class high noon real western drama used social statement like blackboard jungle rebel without cause youth,1
diego armando maradona still remains best football player game offered athlete artist documetary world cup forever live memory every football fan around world tremendous unbelievable goal scored country england absolutely point diminishing star although dont undersand spanish appreciate argentine narrator actually cry happiness barely express emotion anything wrote senseless difficult comprehend reader watch know mean,1
crystal voyager strange documentary eccentric surfer living australia american birth george greenough surfed photographed friend recently dolphin australia year using various invented camera either strap back board boat mid teamed surf mag editor budding film maker david elfick create visually interesting tale life photography minute feature crystal voyager result even audience bit puzzled film neither surf ing movie surf movie george swim child zippy board real surfboard offset tedious droning george occasionally dry droll actually funny like almost setting fire falling something spectacular power glide wave ran minute set pink floyd music sydney opera house opened also contained cinema crystal voyager booked arty sporty oz pic default became hit opera house ticket cost far movie ticket audience flocked see film excuse sydney opera house film record business low budget attraction local tourist wanted tell neighbor seen show created myth film huge crowd puller reputation spread result teamed fantasy cartoon fantastic planet trippy run uk europe double feature ran coastal cinema crowd rather nonplussed recently george emerged lord fly style another well photographed sea adventure called dolphin glide offer viewer dive swim wild dolphin byron bay eccentric min short even eccentric min george short met collective yawn medium pubic january make crystal voyager fluke year ago however special oz surf night outdoor cinema last year people turned turn every night see anything summer season film damned thing fluked another box office binge many actually enjoyed much open debate likely plain puzzled mad film astonishing reputation elfick however since gone onto stellar career major producer director many lauded australian international film look worry starstruck undercover rabbit proof fence love limbo clear present applause achievement george however still floating around somewhere droning away looking something else film drop camera,0
widely unknown strange little western mindblowing colour probably material used johnny guitar guess trucolor something make blood drip look like shining ruby nearly surrealistic scene twisted action character something different far masterpiece paid attention little gem western encyclopedia,1
read novel kite runner based wife daughter thought movie fell long way short book prepared take word movie good great good accurately portray havoc created soviet invasion afghanistan convincingly show intolerant taliban regime followed rate c first b second human story afghan american returned country rescue son childhood playmate well done count particularly told book far convincing movie exciting part film however kite contest kabul later mini contest california cannot equaled book wager money,1
god incredible movie reminded much similar scene mel gibson movie soldier company lost cut scene pearl harbour british officer say ben affleck american like god help nation go war america br br put movie together would enough bullshit fertilise entire sahara desert br br story cut battalion may real enough movie could done without american preachy jingoistic propaganda attached audible groan cinema mentioned scene pearl harbour kidding either lost battalion however really class br br american think unbeatable inspired bravery actually cringed damn near puked swill spewed throughout diarrhoeic disaster movie br br fighting scene well made star script manure wrapped even brightly coloured ribbon still manure writer james carabatsos also wrote screamer hamburger hill mercy heartbreak ridge someone please shoot writes garbage br br director russell mulcahy australian god shame,0
low budget mostly name actor campy horror flick supposed type movie kept edge seat kid staying late watch cable liked horror scene movie,1
excellent anime movie well animated good intricate plot good music understand may think little long think good length animation good traditional anime br br three character br br way use tenkai masterly example body double showing location add ominous tone movie design tenkai good way look monk end scene armour wearing br br old man andou earth likable character jiro meet turning point movie br br sanpei satsuma shinobi infiltrated tenkais clan save jiros life twice stay background movie though really one hero movie br br plot plot good traditional without unoriginal historical time acted interesting meiji restoration treasure sought tenkai restore shogunate jiro find us help anti shogunate force overthrow shogunate br br way tenkai trick jiro interesting sort hamlet feel also sweet irony fact tenkai gotten jiro become shinobi think able kill end maybe firearm hand hand combat weapon br br plot death make mostly dark light moment see jiros childhood memory good dark intricate plot br br music opening theme example good electric guitar drum occasionally piece use believe taiko drum sure br br lot good music like one played traveling iga shinobi believe piece called numatou incredible flute flute might pan flute probably shakuhachi br br end theme kamui komoriuta calm delicate vocal beautiful song general br br animation br br animation good perfect blood run character sometimes appear orange transition interesting think transition nice one example nice transition jiro iga shinobi running sunset background music playing transition simple effective nice feeling br br final word think plot animation music character make one best anime movie ever seen,1
movie schlock despite lo fi production link troma production dark fable adult exploitation theme sugar cooky one wonder cast fallen prey said theme weird movie enticing visuals shadow contrast prominent definitely worth look especially fan warhol stylish decadence cruelty wickedness moral albeit twisted gleamed,1
originally aired abc movie week involves two young innocent female college student railroaded prison camp little southern town allowed phone call nobody know follows rape torture beating humiliation degradation leading disturbing conclusion br br tv version time grim nudity beating pretty tame overall feeling sleaziness wore one unrated version even worse plentiful nudity violence extreme one particularly disgusting sequence see cry female prisoner forced strip lesbian guard us yuck nothing wrong exploitation film one go brink get feeling filmmaker enjoy poor woman tortured degraded shoved face like supposed enjoy needlessly downbeat ending help br br giving acting good actually make movie harder watch sick sleazy film recommended,0
american come expect crapiness par course come horror unknown director directing unknown actor acting unknown writer truly expect suck suck becomes night success br br night success weekend month success blow start finish recommendation go knowing suck enjoy something better keep back way back burner entertaining way watching elderly cross busy street rush hour expect much almost never get hit actual car lot hoopla,0
definitely definitely worst film ever seen question asked contradictors opinion might argue title judged criterion others since independent low budget film c mon already  amateurism meager innovation horrifying br br agreeing everything said film example mind numbingly weak acting bad take another go shooting scene god damn thing found annoying total lack common sense script assuming thing existed production obvious absence dialogue respect viewer girl switched personality several time seemed show absolutely sing rationality even brain five relatively fit girl one slight female psychopath  gang br br thing regarded somewhat conquest title camera leaving van time thus viewer seeing everything inside rest film good idea executed exponentially dreadfully br br oh way movie nothing like blair witch project cloverfield title filmed hand held camera  effect trait used cleverly breathtaking case excuse inadequate cinematography,0
someone teach people made movie difference presenting multiple twist screwing audience even use hypnosis tool cover plot hole whenever find way scene say regressing past snapping think explains everything movie dishonest cheat last minute becomes full blown fiasco,0
nearly always case britain come entertaining successful sit com quiz show yank come along poach format produce grossly inferior version man house course exception rule yank version three company unwatchable braindead pap seem run forever prime example quantity non existent quality original hand fondly remembered gem savvy like fawlty tower pull plug precisely right time unlike episode hilarity three company came jo cute brilliant chemistry roper richard sullivan made look easy script whilst exactly oscar wilde standard consistently funny chrissy drop dead gorgeous woman walked face planet since dead sea merely feeling unwell nuff said,1
kid remember watching visiting friend uncle phil back dinosaur story silly cartoon dinosaur called rex voiced wonderful john goodman tell little boy dinosaur story dinosaur came back earth live explains part thing brought back along friend doctor professor villain film think might responsible back care kid might like personally cheesy john goodman probably decent thing poor,0
many negative review stay away joe stay quiet longer let injustice happen side heard yet br br elvis presley movie guilty pleasure simple reason perfect film pure relaxation think watch mean worry missing complex plot never proper plot start kick shoe grab beer sit back switch brain enjoy general wackiness catchy easy going rock n roll tune grooviest decade br br book stay away joe definitely fall bad good category like appreciate trash value ultimate camp experience bad almost surrealistic watch think possibly get worse surprise imaginable way end amazed new level stupidity know whether laugh cry nutshell love damn amusing generation actually made film like still give though hit bottom became instant bad movie classic,0
usual commenter website seeing underrated movie endeavour write comment remark fun watching movie perhaps cat everything wish could going post spoiler reveal plot thing really found amazing way manipulates people divine underrated movie lack argument usually go enjoy speak little go movie fun really enjoyed h stayed dark room must seen delight fade away let try critical thank reading,1
second time stopped video dvd part way br br willing give film benefit doubt first even though managed shallow clichéd stupid joyless plodding pretentious br br like school special directed weird grade nine kid think nobody understands creepy sad voice narration deluded adolescent would consider poetry singing really poor child suffering br br enough already especially morphed brazen clumsy insulting clockwork orange ripoff mention singing br br worst film ever seen certainly one felt least compelled sit recommend anyone,0
sort everbody see least br br glorify world show everyday person killed mained debased war person side eats sleep laugh cry,1
really enjoyed movie little difficult brother making stupid comment ever second movie enjoyed mostly used usual hk action film film like watch story line watch mindless action mindless action right get see jet li jump spin kick punch shoot make impossible jump dodge countless bullet true movie released broader audience li lethal weapon one reason rating movie dropped people probably expecting see movie polished north american film need remember hk film budget nearly high north american film style hk action film usually different usually requiring wire work lot want see good action film see try ignore dubbing br br rating,1
reading many review know movie people watching clearly one saw br br movie horrible acting primarily moore terrible woman cannot act nice tit act point come across actual character instead spoiled hollywood actress go beach play make believe boy br br movie ultimately hollywood make believe training sequence top politics top political correctness top combat scene guessed top mission get get without detected shoot many round make much noise possible course oh g jane wing man anytime br br premise good soon hollywood get hold end top gun tit br br expected commercial u film anymore much guess,0
hulk hit theater long dvd old incredible hulk tv show popped attempt cash craze saw similar occurrence year prior spider man cartoon appeared dvd coincide hero big screen debut company leap opportunity ride financial coattail hot brand br br fact picture never surfaced shelf wal mart featured hero clobbered box office summer say lot guess everyone involved would rather forget fair fantastic four bad everyone say let rephrase unentertaining negative review might suggest br br veteran television actor alex hyde white remember role lead way reed richards brilliant scientist along crew gain bizarre power outer space mishap left ability stretch contort body outrageous length future wife sue storm rebecca staab suddenly turn invisible brother johnny jay underwood may ignite poor ben grimm michael bailey smith lovable lug whose body morphs mass craggy orange rock br br friend becoming accustomed called upon rescue world certain chaos seems reed old colleague victor von doom joseph culp living name villainous jeweler ian trigger exactly helping old lady cross street either hero save day course like superhero movie question br br striking fantastic four amateurish virtually every aspect dialog lame tired sound like written junior high drama class acting unpolished make third rate afternoon soap opera look like shakespeare special effect surprisingly good considering minuscule budget still positively embarrassing moment human torch fully ignites body instance entire movie briefly turn cartoon hear production meeting oh one notice intrigued action mean really cartoon least give mannequin fire held string prior scene foursome come earth spaceship crash pure teen backyard fare crew simply found field lit vaguely spaceship like object fire remnant major disaster br br course whole lot work script fairly coherent story simplified reed ben decide go outer space simply drop storm house ask care join really easy sort thing require oh know year training expertise world writer seemed inspired underrated genius display full house rerun bad may nothing compare painfully clichéd dr doom pulled right awful superhero cartoon right evil laugh slamming clenched fist table punctuate remark comic book least fantastic four ever featured villain obscenely one dimensional br br ultimately fantastic four saved complete turkey damn innocent tell people involved little talent experience really tried know final result would embarrassing impression big break people would flock theater bear repeating virtually money work sure half eaten cool thing costume thing considered well many flaw finished product fair amount fun comic book fan,0
full length feature film world bridge found first minute bit slow movie absolutely perfect describing professional bridge player go earning living br br scene funny think non bridge player would get charm movie br br dress really beautiful pity movie black white imagine would look like colour way medium portrayed absolutely hilarious way earth bridge ever like br br watch soon tell friend,1
man navy comment indicated rare well filmed look navy lighter air lta activity lta crew justly proud convoy shadowed never lost ship submarine attack filming various na location give valuable glimpse type aviation long gone however first half movie beery relationship service pal meeting tom drake character mother getting drake leg fixed second film start second film mostly ltas action taking surfaced sub guy get killed much damage caused look fairly gritty realistic imagine shift southeast asia navy ltas never mind part really wild blimp used extract downed aircrew jungle jap shooting like mad shade vietnam except getaway oh leisurely blimp talking end feel good wwii drama unusual part war,1
normally spike lee fan take time really get mojo see clear message ability tell story close heart lee genius unlike th hour bamboozled two favorite film clear story film able understand struggle washington choice play well influenced others odd reason lee never able get true feeling washington decent job handed could tell lee favorite film lee direct film also wrote could tell camera work horrid writing contributed decay film film coming full circle going pretty lee behind film right thing film seen lee direct brightest modest film almost created hollywood movie instead one know saw money right thing ran film demonstrate true talent br br anyone seen film perhaps stopped watching anything directed spike lee afterwards due film suggest give second chance get wrong see exactly coming film would want put behind lee grow work becomes see transformation desire make money wanting make good film took awhile watch th hour sheer brilliance perhaps actor perhaps story lee crafted amazing film one man journey unknown guess hoping mo better blue would turn really dark journey life man really never grew instead got denzel denzel really one versatile actor generation consider sydney poitier cinema film showcase talent br br another issue film use spike sister playing one love interest know family think could filmed sex scene sister care actor much money getting paid would never something never wish see apparently different spike went ahead showed full nude image sister without remorse sad even made blush also need somebody answer flavor flav introducing film sitting couch ready start film suddenly voice past spelling studio made film acknowledges build strong remaining story felt lee going money film instead actual talent perhaps could afford denzel wesley movie without explosion br br two great scene film made worth watching end get wrong bad movie always diamond every alleyway scene bleek accidentally forgets woman mesmerizing continually went back forth weaving truth confusion way proved lee actually behind camera visionary scene probably lost shuffle due remaining poor scene scene worth watching way lee introduced ended film keeping pacing direction able bring tragic character around full circle give chance change life two moment rest film pure rubbish worth viewing unless go blind br br grade,0
whole point making film one earliest best international color release cinematic opera make accessible mass succeeded admirably general public would sit still love story two young exotic lover ancient egypt played typical pound tenor soprano vocal equipment sing glorious music properly hence visual substitution beautiful principal young loren handsome della marra slinky m maxwell make story much believable giving familiar plot music better chance wooed lovely aria otherwise might altogether enchanting introduction one verdi great work remember seeing junior high school certainly awakened interest opera form well acquainted still regard film fondly would recommend highly might appreciate great music accompanied better average visuals luciano della marra standout radames unfortunately audience appear film,1
excellent movie stellar cast great acting never tire watching especially love scene danny glover character kevin kline character namely simon mack brunch together kevin kline natural seems mannerism effortless one would encounter often real movie br br one powerful scene movie however beginning movie simon arrives scene mack car broken movie also strong message unlike stereotypical message carrying movie one person preaching gut audience instead actor emotion situation deliver impactive message best without use word lastly mary mcdonell brilliant always,1
ever said movie redeeming feature whatsoever answer yes one helming appalling house dead director uwe boll cast le talented eye towards yet another video game adaptation guy get anyone understand block capital video game make good movie acting best sub standard set design special effect poor unlike video game scary moment movie atmosphere impending doom sense danger menace pacing plotting confused paper script printed would better used toilet paper main culprit director uwe boll us camera grace skill monkey using paintbrush hackneyed zoom swoop pan spliced whole dreary affair unpredictable moment leaving audience disorientated bored guy ever let near movie set first place must stand one modern cinema greatest secret avoid cost,0
seen many people packed outside theater since star war episode iii show sold good reason man screaming brain best movie see crowd full geek hey dork br br bruce campbell present whole crowd stitch movie cheesy best possible way may funniest movie bruce done ted raimi steal show bulgarian hip hop itude zany facial expression laugh riot knew ted could rap br br changed mind person stole show actually robot nothing funnier robot robot br br bruce performance take th thanks bruce thanks cool thanks taking time thanks fun,1
mix comedy romance music action horror knockout one reason people rave hong kong cinema looking something totally original look entertainment peak,1
narrative  whether written visual poetic epic  generally try avoid may character reader viewer easily overwhelmed trying keep track exactly especially true film think simply cannot easily go back refresh memory cinema viewer like however problem see film dvd vhs br br year ago introduced audrey tautou french actress first saw fabulous destiny amelie poulain later long engagement finely crafted complex story large cast character earlier offering exceeds others way character complexity br br director used technique robert altman player short cut gosford park others paul thomas anderson magnolia stanley kramer mad mad mad mad world comedy almost epic proportion difference film first director let u see inside head character second scene repeated mean refresh viewer memory story flip flop different time period br br basic  core speak  story concern young woman irene tautou told fellow commuter train meet true love day occurs first minute film clever irony point irene realize young man opposite gilbert robin may one true love br br go separate way neither realizing potential significance close encounter however chaos result throughout rest day two young people rest character appear series cleverly constructed interwoven vignette seem going nowhere yet br br story simply could tend boring even quite predictable script director rip expectation host innovative scene commonplace turned believable extraordinary event allow two possible lover meet example next time bird poo sky drop onto book paper consider alternative two character make obvious choice must occur irene man destiny meet stone chip flying onto windscreen consider would happen br br interesting enough interesting assessing new man came along trying decide whether guy one irene whether fact young man train kept guessing br br let think see delightful romp br br recommended,1
nice see bruce willis come action throne let u see really talented actor shine film near year old image consultant totally lost touch inner child meet face face one rare film talk audience truly offer something whole family caring keeping child inside realizing grow exactly way thought would willis seems building impressive track record working kid witness sixth sense haley joel osment great chemistry spencer breslin nice photography music ending wonderful uplifting great film see every member family,1
watched film time never really liked fan termed nu horror dismissed account found little sleazy think thing irks hammer sexploitation aspect sex mind sexploitation surprised many people rated film highly another look creepy atmosphere bit omigod look bad stupid london prostitute woman little innocent anna get raped yet another nasty man ooherh suppose ultimately film depth whatsoever bunch nasty priggish men woman titillation value doubt degree victorian england like set even clunky dull impart sense victorian menace roger corman horror hand style atmosphere elegant horror exploitative flat footed trash,0
movie football jesus god kind sappy sanctimonious religious drivel get arch idiot wrestle jesus pump iron jesus yeah jesus totally buffed liked contact sport definitely owned full set dumb bell duhhh movie entitled hiking jesus something along line let general public know real intent movie convert people christianity pander whose brain already thoroughly washed blood lamb title derived bible made clear head coach reading bible asking jesus help recent sport movie invincible time inspiring jesus even factor desire determination individual dream br br broad appeal inspirational sport movie ultimately lost amidst blatant bible thumping sanctimonious religious propaganda one get impression sole message way succeed make positive gain accept jesus personal savior simply true therefore lie perpetuated believe true want everyone else believe image winning athlete thanking jesus win come directly mind loses curse jesus course loses jesus responsible jesus responsible win logic go round round round end exactly true believer need every time hit pause scene coach receiving brand new truck came could stop rolling floor laughing as catch breath materialism jesus taught find odd called christian seem either forget ignore message savior especially see jesus fish back huge gas guzzling suv pass like standing still br br another message movie implies jesus apparently care win loss record mediocre high school football team million starving child world final scene insecure unsure kicker boot yard field goal hyped unbelievably incredible miracle put final gag spoon religious red flag turkey gave three star guy played black coach could actually act,0
stuffy melodrama quite easily worst film starring ingrid bergman seen even luminous screen presence save insufferably slow meandering movie nearly impossible sit without fast forwarding lot br br die hard bergman fan others likely fall asleep suggest watch bell toll instead,0
really disappointed movie great actor potentially great plot seemed limp along br br charlize theron masterful role beautiful seemed like screen work car chase done austin mini product placement gone wrong wrong br br direction seemed edward norton bad guy obvious right start every time camera would pas would linger long norton would grimace something c mon hollywood give u little credit okay surprise u plot twist without telegraph br br sorry movie average always one appreciate work talent go movie one,0
read review found comparison movie v real life eg take get music school britney bashing etc etc let focus movie message br br rated movie age range year family movie average adult male br br like pop rock music know britney spear never realised actually sang stronger read credit review recognise poster wall worried self promotion br br watch movie entertained care casting lighting producer director etc movie entertain br br watched movie message world greatest epidemic low self esteem whole story watched message mind area interest movie light bright breezy great kid found texan twang began fade throughout movie course many way convey give give message yeh bit predictable great message though br br movie great family movie bloke watching get hannibal,1
saw story plot script make absolute sense samvise brave part without ring character showing blue reason hercules hated everyone one know leelee sobiesky showing true talent two crappy special effect good actor wasting talent mention leelee two talent say awful even nbc tv standard lowest waste way people give mini series many star beyond shame make line final word avoid avoid u considering buying,0
word fail br br common br br done properly could great funny spoof b movie sci fi sadly rarely field drama many competent actor struggled vainly dog breakfast script endorse previous reviewer comment go clean bathroom fact anything except watch film br br positive lucy beeman nose negative everything else br br apposite line going anywhere br br every plastic surgeon could meet fate,0
almost made fool going start review saying movie reminded billy elliot looked resume screenwriter lee hall find guy wrote billy elliot mr hall making fool br br bit cruel lee something aspiring screenwriter britain foot door previously written successful british movie award made money box office next give audience br br young jimmy spud life kitchen sink estate bullied school one love thing keeping going aspiration ballet dancer actually aspiration angel considering household may well ballet dancer macho waster father think ballet dancer bunch poof granddad say ballet dancer tough man could meet remember seeing bolshoi ballet yup ballet main talking point run british council estate day come think neither left wing politics seems sole preserve middle class gooders live nice big house right away everything set feel ridiculously false br br another major criticism film clue trying appeal often criticised channel broadcasting movie totally inappropriate time land time forgot example showed got spot considering story involves politics ballet dancing gawd hate lung cancer poverty way deemed suitable family audience since main protagonist year old child feature angel ballet dancer blame seem obsessed subject need refer much intelligent adult audience either br br course lee hall told script development stage producer write story featuring schoolboy angel flatly refused saying wanted write theme story apologise throughout movie get feeling film completed going marketed exact audience enjoyed billy elliot,0
sure show one familiar might think good almost close baywatch hawaii cast location style directing publicity  show woman walking around beach wonder people misconception decide watch br br wrong cause decide watch show actually thing going real juicy story conflict turn really exciting watch pretty much  addictive br br story hotel clerk manager owner complicated love life also enter troublesome hotel visitor powerful man trying steal hotel actually exciting sound br br deny acting suck bad look away story consistence good enough soundtrack fitting pretty well scenario action time took couple episode actually anything happen solidly patience br br recommendation really enjoy watching zillion time better expected br br rating grade b br br please rate review reading thanks,1
always enthusiastic period drama art form bbc excelled past presentation byron unbelievable unbelievably bad script dreadful acting uninspired character woefully insipid apparently byron mad bad dangerous know set lady heart flutter production appeared tawdry jumped little squirt instead fiery hero womenfolk greek struggle independence said byron walked limp portrayal man limp br br watched whole two half hour waiting something spark life splutter even glimmer utter tedium downright boredom start finish br br opinion one ever better bard avon also believe byron poetry revered mind flung back burner dramatisation life accorded treatment br br think bbc lost nous one,0
although snippet part documentary hinting necessity recreational drug law reform well developed contrast many snippet feel drug happen currently illegal scourge imaginable solution incarceration even guilty even mere possession drug br br although program whole leaf viewer impression drug war largely futile exercise waste money deserves praise almost nothing documentary address real problem total war merely posse illegal drug obviously cause contributes real problem drug warrior would tell asked think drug war designed solve example many minute spent surge violence associated rising popularity crack cocaine point program even hint law designed suppress crack cocaine make impossible drug seller enforce contract business arrangement court law forcing resort violence stay business instead seeing law important cause violence drug seem take brunt blame inexplicably alcohol prohibition violence ensued subsequent reversal prohibition totally ignored program br br program help perpetuate ridiculous stereotype drug user primary force driving expensive problematic drug war possibility incorporating drug alcohol happy successful life really touched use drug excess probably going cause personal problem user drug excess like alcohol user alcoholic br br want point view someone belief adult moral right incarcerated life ruined criminal justice system using drug government mostly arbitrary political reason rather reason based sound social policy legitimate science decided totally prohibit whose user decided metaphorically wage war forget none br br hand hardly category anti drug propaganda mostly interesting neutrally presented history drug th century united state like marijuana lsd heroin cocaine mdma oxycontin significant element various people point view regard drug law thoughtful well informed slanted favor drug warrior mentality especially respect drug marijuana br br criminal justice system along often harsh life ruining penalty obviously answer appropriate answer every single social problem unfortunately epidemic nation yet unnamed disease whose primary symptom lack imagination respect social policy come certain drug lack compassion fellow human prejudice people use drug governmentally approved perhaps vested interest growth prison policing industry horrid apathy regard human dignity morally wrong kidnap incarcerate people unless damn good reason mere possession arbitrarily selected group drug clearly reason really primary issue come drug yet program ignores br br sum part program neutrally present history without feeding stereotype drug user heart drug war mentality pretty good interesting entertaining come presenting rational non radical point view regard drug policy giving viewer example people drug problem also many people successfully incorporate drug happy successful life pretty disappointing,0
one episode one indisputable error storytelling handling ralphie situation christopher state heard pie death fire accident important detail context quite obvious christopher know beginning tony one must killed ralphie however way chris could heard accident told time torn delirium tony call nobody else informed tony know make even worse hearing christopher talk pie death could therefore lead tony conclusion chris set fire given impressively elaborate writing process told writer dvd really wonder none realized problem story work way unnecessary add huge fan soprano otherwise certainly care,0
fame think best movie ever seen way funny dramatic make movie true loose end actually lot still think terrific movie funny thing happen audition beginning movie think hilarious girl try act j simpson towering inferno raul ralph go around every art department saying father great every one say dad danced rocket left ralph tap shoe rocket far know made woman tap shoe regular shoe bottle cap bottom also guy read line juliet romeo juliet play funny one thing movie turn music never heard anything like favorite song sing body electric second theme song fame irene cara great voice great actress like way movie focused many ethnic group showed kind people actually called la guardia school performing art movie showed triumph trial many young performer including angelo doris bruno coco montgomery ralph leroy hilary liza hard time made way movie could added another minute graduation still favorite movie matter,1
heard lot different opinion film find paris hilton well give best impression film dragged cinema group friend sit expecting pile pant shocked find scared stiff way film predictable yes build death whole atmosphere film made really scary watching finger whole way say go watch decide fact scary film convince go watch also chad michael murray bad watch couple hour eh,1
movie fun board br br essentially follows comedic romp two grave robber th century england move conventional body snatching trafficking vampire zombie dead roswell alien idea roswell alien neither producer think br br funny bet even ron perlman often kiss direct dvd death pretty good one priest turn ringleader rival gang body snatcher br br real joy watch hilarious little film good example larger life ego either side camera,1
netflix mention short feature info silk stocking superior every way produced fluff much better cole porter song lot energy silk stocking turned big disappointment fred getting old sort thing though dance cyd lovely watch garbo melvyn douglas version ninotchka peter lorre ill making silk stocking seems passive active number le line glad ran across paree paree pure accident made whole experience lot enjoyable bob hope simple song dance man pure joy,1
